restaurant_name,source_restaurant_name,michelin_distinction,michelin_stars,guide_year,locality,country,street_address,latitude,longitude,source_url,source_type,source_accessed_at,coord_source,coord_validation_status,note
DiverXO,DiverXO,three-stars,3,2026,Madrid,Spain,"Calle del Padre Damián 23, 28036 Madrid",40.4577954,-3.6859491,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/3-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,Sole 3-star entry on the official 2026 Madrid category page; OSM restaurant node 3415801021 matches name and Madrid-city address.
Deessa,Deessa,two-stars,2,2026,Madrid,Spain,"Plaza de la Lealtad 5, 28014 Madrid",40.4155502,-3.6927255,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM relation 3888654 is the Mandarin Oriental Ritz building that houses Deessa; the restaurant itself is not tagged as a named OSM object.
Ramón Freixa Atelier,Ramón Freixa Atelier,two-stars,2,2026,Madrid,Spain,"Calle de Claudio Coello 67, 28001 Madrid",40.4285126,-3.6862596,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5085913649 carries the predecessor spelling “Ramón Freixa” at the same operator address (Claudio Coello 67).
Coque,Coque,two-stars,2,2026,Madrid,Spain,"Calle del Marqués de Riscal 11, 28010 Madrid",40.4306865,-3.6905135,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 7006949434 matches name and Madrid-city address.
DSTAgE,DSTAgE,two-stars,2,2026,Madrid,Spain,"Calle de Regueros 8, 28004 Madrid",40.4245942,-3.6963316,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5085913644 (“Dstage”, casing variant) matches the Madrid-city address.
Paco Roncero,Paco Roncero,two-stars,2,2026,Madrid,Spain,"Calle de Alcalá 15, 28014 Madrid",40.4180586,-3.7004159,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM relation 19697711 is the Casino de Madrid building that houses the restaurant; no named OSM restaurant object exists for Paco Roncero.
Smoked Room,Smoked Room,two-stars,2,2026,Madrid,Spain,"Paseo de la Castellana 57, 28046 Madrid",40.4388252,-3.6917467,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/2-estrellas-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM way 1433222601 is the Hyatt Regency Hesperia building that houses Smoked Room; the restaurant itself is not tagged as a named OSM object.
Èter,Èter,one-star,1,2026,Madrid,Spain,"Calle Granito 20, 28045 Madrid",40.3932129,-3.6916876,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5362227921 (“Restaurante Èter”) matches name and Madrid-city address.
La Tasquería,La Tasquería,one-star,1,2026,Madrid,Spain,"Calle del Duque de Sesto 48, 28009 Madrid",40.4222271,-3.6735107,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,Two OSM nodes share this name; the house-numbered node 6137473887 at Duque de Sesto 48 was selected and the un-numbered node treated as a data-quality duplicate.
Saddle,Saddle,one-star,1,2026,Madrid,Spain,"Calle de Amador de los Ríos, 28004 Madrid",40.4275370,-3.6911125,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5209961484 matches name; OSM address lacks a house number so the street-level address is recorded as-is.
Yugo The Bunker,Yugo The Bunker,one-star,1,2026,Madrid,Spain,"Calle de San Blas 2, 28014 Madrid",40.4106458,-3.6946511,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 12167755757 matches name and Madrid-city address.
A'Barra,A'Barra,one-star,1,2026,Madrid,Spain,"Calle del Pinar 15, 28006 Madrid",40.4386539,-3.6878292,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5235732371 matches name and Madrid-city address.
Quimbaya,Quimbaya,one-star,1,2026,Madrid,Spain,"Calle de Zurbano 63, 28010 Madrid",40.4361015,-3.6931943,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 9760919947 matches name and Madrid-city address.
OSA,OSA,one-star,1,2026,Madrid,Spain,,,,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,,needs_review,Listed on the official 2026 one-star category page; Nominatim returns only unrelated street/burger matches for this short name so no pin is asserted.
El Invernadero,El Invernadero,one-star,1,2026,Madrid,Spain,"Calle de Ponzano 85, 28003 Madrid",40.4445956,-3.6989602,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 10670260205 (“El Invernadero Rodrigo de la Calle”) matches name and Madrid-city address.
Pabú,Pabú,one-star,1,2026,Madrid,Spain,,,,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,,needs_review,Listed on the official 2026 one-star category page; no matching OSM/Nominatim restaurant object found so coordinates are deliberately left blank.
CEBO,CEBO,one-star,1,2026,Madrid,Spain,"Carrera de San Jerónimo 34, 28014 Madrid",40.4164051,-3.6985954,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5287401621 (“Cebo”, casing variant) matches the Madrid-city address.
EMi,EMi,one-star,1,2026,Madrid,Spain,"Calle de Gaztambide 64, 28015 Madrid",40.4388461,-3.7151504,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM node 4109999608 is the house/address geometry at Gaztambide 64; no named OSM restaurant object exists for EMi (only an unrelated hairdresser matches the short name).
Gofio,Gofio,one-star,1,2026,Madrid,Spain,"Calle del Caballero de Gracia 20, 28013 Madrid",40.4193287,-3.7001659,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 12853998829 (“Gofio”) at Caballero de Gracia 20 identifies the current premises; an older duplicate node on another street was treated as stale.
Ricardo Sanz Wellington,Ricardo Sanz Wellington,one-star,1,2026,Madrid,Spain,"Calle de Velázquez 6, 28001 Madrid",40.4217715,-3.6841825,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM node 3507803788 sits at Velázquez 6 (Hotel Wellington address); no OSM object carries the restaurant’s current name.
Clos Madrid,Clos Madrid,one-star,1,2026,Madrid,Spain,"Calle de Raimundo Fernández Villaverde 28, 28003 Madrid",40.4461649,-3.6995359,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 5903073286 (“Clos”) matches the Madrid-city address.
Gaytán,Gaytán,one-star,1,2026,Madrid,Spain,"Calle del Príncipe de Vergara 205, 28002 Madrid",40.4498245,-3.6783597,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,Two nearby OSM nodes share this name on the same street; the house-numbered node 4697273417 at Príncipe de Vergara 205 was selected.
Corral de la Morería Gastronómico,Corral de la Morería Gastronómico,one-star,1,2026,Madrid,Spain,"Calle de la Morería 17, Madrid",40.4127418,-3.7141548,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM music_venue node 2697521933 (“Corral de la Morería”) locates the venue that houses the gastronomic dining room.
Toki,Toki,one-star,1,2026,Madrid,Spain,"Calle de Sagasta 28, 28004 Madrid",40.4278666,-3.6974121,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM address node 12921810066 at Sagasta 28; no named OSM restaurant object exists for Toki.
Chispa Bistró,Chispa Bistró,one-star,1,2026,Madrid,Spain,"Calle del Barquillo 8, 28004 Madrid",40.4201745,-3.6955599,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 4157495190 (“Chispa”) at Barquillo 8 matches the venue at its published address.
VelascoAbellà,VelascoAbellà,one-star,1,2026,Madrid,Spain,"Calle de Víctor Andrés Belaúnde 25, 28016 Madrid",40.4562704,-3.6799191,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM address node 9997833548 at Víctor Andrés Belaúnde 25; no named OSM restaurant object exists for VelascoAbellà.
RavioXO,RavioXO,one-star,1,2026,Madrid,Spain,"Plaza de Manuel Gómez-Moreno 5A, 28020 Madrid",40.4482020,-3.6945471,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_approximate,"Approximate pin: OSM way 891287353 is the plaza footway at Manuel Gómez-Moreno, not the exact venue entrance; treated as a location approximation, not an OSM venue or address match."
Desde 1911,Desde 1911,one-star,1,2026,Madrid,Spain,"Calle del Vivero, 28003 Madrid",40.4484519,-3.7099045,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_verified,OSM restaurant node 12444507960 matches name; OSM address lacks a house number so the street-level address is recorded as-is.
Ugo Chan,Ugo Chan,one-star,1,2026,Madrid,Spain,"Calle de Félix Boix 6, 28036 Madrid",40.4632356,-3.6883724,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,Address-level pin: OSM node 4229665290 is an unnamed generic restaurant at Félix Boix 6 (same address); venue identity is not tagged in OSM so this is not asserted as a named match.
Sen Omakase,Sen Omakase,one-star,1,2026,Madrid,Spain,"Calle de Santa María Magdalena 14, 28016 Madrid",40.4621820,-3.6701079,https://guide.michelin.com/es/es/comunidad-de-madrid/madrid/restaurantes/1-estrella-michelin,official-category-listing,2026-07-12,openstreetmap-nominatim,osm_address_verified,"Address-level pin: OSM node 597380752 sits at Santa María Magdalena 14 but is currently tagged as “Popa”, so only the address is verified, not the venue identity."
