source_venue_name,canonical_venue_name,city,country,distinction,guide_year,source_url,source_record_key,source_type,edition_announcement_url,edition_announcement_published_or_updated_at,source_accessed_at,source_published_or_updated_at,verification_status,verification_note,venue_official_url,venue_official_url_source,street_address,address_source_url,lat,lng,coordinate_source,coordinate_validation_status
Le Gabriel - La Réserve Paris,Le Gabriel - La Réserve Paris,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5030309021 is Le Gabriel on the La Réserve premises; Nominatim resolves its side to Rue du Cirque while the venue publishes the Avenue Gabriel entrance.,https://www.lareserve-paris.com/en/restaurants-bars/restaurant-le-gabriel/,first-party-or-official-michelin-record,"42 Avenue Gabriel, 75008 Paris",https://www.lareserve-paris.com/en/restaurants-bars/restaurant-le-gabriel/,48.8697092,2.3134390,openstreetmap-nominatim,osm_verified
Épicure,Épicure,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4699968994 is Epicure on rue du Faubourg Saint-Honoré at Le Bristol; a second Épicure node 9997195643 on rue de Ponthieu was rejected as not matching the official address.,https://www.oetkercollection.com/hotels/le-bristol-paris/restaurants-bar/epicure/,first-party-or-official-michelin-record,"112 rue du Faubourg Saint-Honoré, 75008 Paris",https://www.oetkercollection.com/hotels/le-bristol-paris/restaurants-bar/epicure/,48.8717179,2.3148011,openstreetmap-nominatim,osm_verified
Kei,Kei,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,"Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Kei element was returned; OSM address node 681369512 is exactly 5 Rue Coq Héron, the official Michelin individual-record address.",https://restaurant-kei.fr/,first-party-or-official-michelin-record,"5 rue Coq-Héron, 75001 Paris",https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/kei,48.8643280,2.3421687,openstreetmap-nominatim,osm_address_verified
Plénitude - Cheval Blanc Paris,Plénitude - Cheval Blanc Paris,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,"Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): No named Plénitude element was returned; named OSM hotel node 8859828184 is Cheval Blanc at number 8 and is the documented host premises, not a restaurant-specific pin.",https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/plenitude/,first-party-or-official-michelin-record,"Cheval Blanc Paris, 8 Quai du Louvre, 75001 Paris",https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/plenitude/,48.8588572,2.3421794,openstreetmap-nominatim,osm_address_verified
Le Cinq,Le Cinq,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 5030422821 is Le Cinq and carries the exact 31 Avenue George V address.,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/,first-party-or-official-michelin-record,"31 avenue George V, 75008 Paris",https://www.fourseasons.com/paris/contact-us/,48.8686738,2.3007762,openstreetmap-nominatim,osm_verified
Pierre Gagnaire,Pierre Gagnaire,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 4699902490 is Pierre Gagnaire on Rue Balzac and lies at OSM address node 839872225 for number 6.,https://www.pierre-gagnaire.com/,first-party-or-official-michelin-record,"6 rue Balzac, 75008 Paris",https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/pierre-gagnaire6112,48.8733364,2.3004153,openstreetmap-nominatim,osm_verified
Arpège,Arpège,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 11817329876 is L'Arpège and carries the exact 84 Rue de Varenne address.,https://www.alain-passard.com/en/,first-party-or-official-michelin-record,"84 rue de Varenne, 75007 Paris",https://www.alain-passard.com/en/contact/,48.8557540,2.3170135,openstreetmap-nominatim,osm_verified
Alléno Paris au Pavillon Ledoyen,Alléno Paris au Pavillon Ledoyen,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,"Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant way 108191689 is Pavillon Ledoyen, the venue named in Alléno Paris's official address; OSM reverse context uses Avenue Edward Tuck for this corner building rather than the Avenue Dutuit entrance.",https://www.yannick-alleno.com/en/les-etablissements-du-groupe/alleno-paris,first-party-or-official-michelin-record,"Pavillon Ledoyen, 8 avenue Dutuit, 75008 Paris",https://www.yannick-alleno.com/en/les-etablissements-du-groupe/alleno-paris,48.8661024,2.3164852,openstreetmap-nominatim,osm_verified
Le Pré Catelan,Le Pré Catelan,Paris,France,3 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/3-stars-michelin,michelin-2026-paris-3-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 3 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant way 83115461 is Le Pré Catelan; OSM places the building on Route de la Grande Cascade while the official Michelin record uses the estate's Route de Suresnes postal entrance.,https://leprecatelan.paris/en/le-restaurant-du-precatelan,first-party-or-official-michelin-record,"Route de Suresnes, Bois de Boulogne, 75016 Paris",https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-pre-catelan,48.8639746,2.2507666,openstreetmap-nominatim,osm_verified
La Scène,La Scène,Paris,France,2 Stars,2026,https://guide.michelin.com/us/en/ile-de-france/paris/restaurants/2-stars-michelin,michelin-2026-paris-2-stars-category,official-category-listing,https://guide.michelin.com/kr/en/article/news-and-views/michelin-star-restaurants-france-full-list,2026-03-17,2026-07-14,,verified,Name Paris locality and 2 Stars verified on the official category page; France 2026 edition corroborated by the official announcement. Independent location evidence reviewed 2026-07-16 (address source and OSM element are recorded separately): Named OSM restaurant node 11463183203 is La Scène on Avenue Matignon and is adjacent to exact address node 813929540 for number 32.,https://www.la-scene.paris/,first-party-or-official-michelin-record,"32 avenue Matignon, 75008 Paris",https://www.la-scene.paris/informations/,48.8720547,2.3145504,openstreetmap-nominatim,osm_verified
