restaurant_name,source_restaurant_name,michelin_distinction,michelin_stars,guide_year,locality,country,street_address,latitude,longitude,source_url,source_type,source_published_or_updated_at,source_accessed_at,venue_official_url,location_source_url,location_verification_status,coord_source,coord_validation_status,verification_status,note
Quince,Quince,three-stars,3,2026,San Francisco,United States,"470 Pacific Ave., San Francisco, CA, 94133, USA",37.7974316,-122.4032686,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,official-restaurant-record,,2026-07-14,https://www.quincerestaurant.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM way 224384020 provides exact-address geometry, not a named venue match."
Californios,Californios,three-stars,3,2026,San Francisco,United States,"355 11th St., San Francisco, CA, 94103, USA",37.7712823,-122.4130526,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,official-restaurant-record,,2026-07-14,https://www.californiossf.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM node 1806978712 is at the exact address but is currently tagged Bar Agricole, so this is address-level only."
Benu,Benu,three-stars,3,2026,San Francisco,United States,"22 Hawthorne St., San Francisco, CA, 94105, USA",37.7854624,-122.3990798,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,official-restaurant-record,,2026-07-14,https://www.benusf.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,verified,openstreetmap-nominatim,osm_verified,verified,"MICHELIN record confirms the venue and address; named OSM restaurant node 4436674292 matches Benu at the address."
Atelier Crenn,Atelier Crenn,three-stars,3,2026,San Francisco,United States,"3127 Fillmore St., San Francisco, CA, 94123, USA",37.7983224,-122.4358440,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,official-restaurant-record,,2026-07-14,https://www.ateliercrenn.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM way 85562546 provides exact-address geometry, not a named venue match."
Acquerello,Acquerello,two-stars,2,2026,San Francisco,United States,"1722 Sacramento St., San Francisco, CA, 94109, USA",37.7916954,-122.4215252,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,official-restaurant-record,,2026-07-14,https://www.acquerellosf.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM way 259115270 provides address/building geometry, not a named venue match."
Kiln,Kiln,two-stars,2,2026,San Francisco,United States,"149 Fell St., San Francisco, CA, 94102, USA",37.7760076,-122.4203817,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kiln-1210355,official-restaurant-record,,2026-07-14,https://www.kilnsf.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kiln-1210355,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM way 172111618 provides address/building geometry, not a named venue match."
Lazy Bear,Lazy Bear,two-stars,2,2026,San Francisco,United States,"3416 19th St., San Francisco, CA, 94110, USA",37.7603171,-122.4197672,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,official-restaurant-record,,2026-07-14,https://www.lazybearsf.com/contact-info/,https://www.lazybearsf.com/contact-info/,verified,openstreetmap-nominatim,osm_verified,verified,"Operator contact page and MICHELIN record confirm the address; named OSM restaurant node 4534868891 matches Lazy Bear."
Sons & Daughters,Sons & Daughters,two-stars,2,2026,San Francisco,United States,"2875 18th St., San Francisco, CA, 94110, USA",37.7616681,-122.4107535,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,official-restaurant-record,,2026-07-14,https://www.sonsanddaughterssf.com/,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,verified,openstreetmap-nominatim,osm_address_verified,verified,"MICHELIN record confirms the venue and address; OSM node 10636048961 is at the exact address but currently named Osito, so this is address-level only."
Saison,Saison,two-stars,2,2026,San Francisco,United States,"178 Townsend St., San Francisco, CA, 94107, USA",37.7732540,-122.3998717,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,official-restaurant-record,,2026-07-14,https://saisonsf.com/contact/,https://saisonsf.com/contact/,verified,openstreetmap-nominatim,osm_address_verified,verified,"Operator contact page and MICHELIN record confirm the address; OSM way 442572411 supplies street geometry covering the address, not a named venue match."
Birdsong,Birdsong,two-stars,2,2026,San Francisco,United States,"1085 Mission St., San Francisco, CA, 94103, USA",37.7794363,-122.4104209,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,official-restaurant-record,,2026-07-14,https://www.birdsongsf.com/info,https://www.birdsongsf.com/info,verified,openstreetmap-nominatim,osm_verified,verified,"Operator information page and MICHELIN record confirm the address; named OSM restaurant node 9583974523 matches Birdsong."
