canonical_name,category,street_address,latitude,longitude,source_name,source_slug,source_edition,guide_year,distinction,distinction_level,source_rank,source_url,source_type,shared_source_url,shared_source_type,shared_source_published_at,source_accessed_at,official_url,coordinate_source,coordinate_validation_status,coordinate_note
A16,Casual,"2355 Chestnut St., San Francisco, CA 94123",37.7999597,-122.4421040,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/a16,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://www.a16pizza.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for A16 at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Anchor Oyster Bar,Casual,"579 Castro St., San Francisco, CA 94114",37.7596972,-122.4347474,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/anchor-oyster-bar,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,http://anchoroysterbar.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Anchor Oyster Bar at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Bansang,Casual,"1560 Fillmore St., San Francisco, CA 94115",37.7841288,-122.4327413,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bansang,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://www.bansangsf.com/,openstreetmap-nominatim,osm_address_verified,"OSM/Nominatim address-level geometry for 1560 Fillmore St.; this is not claimed as a named venue match and is not supplied by MICHELIN."
Dumpling Home,Casual,"298 Gough St., San Francisco, CA 94102",37.7758690,-122.4226658,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/dumpling-home,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://www.dumplinghomesf.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Dumpling Home at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Good Good Culture Club,Casual,"3560 18th St., San Francisco, CA 94110",37.7617297,-122.4229480,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/good-good-culture-club,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://goodgoodcultureclub.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Good Good Culture Club at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Izakaya Rintaro,Casual,"82 14th St., San Francisco, CA 94103",37.7688879,-122.4151313,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/izakaya-rintaro,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://izakayarintaro.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result uses the exact short name Rintaro at 82 14th St.; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Okane,Casual,"669 Townsend St., San Francisco, CA 94107",37.7706064,-122.4029610,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/okane,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://www.okanesf.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Okane at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Outerlands,Casual,"4001 Judah St., San Francisco, CA 94122",37.7603503,-122.5050056,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/outerlands,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://outerlandssf.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Outerlands at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Trestle,Casual,"531 Jackson St., San Francisco, CA 94133",37.7962001,-122.4045177,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/trestle,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://www.trestlesf.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Trestle at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
Yank Sing,Casual,"101 Spear St., San Francisco, CA 94105",37.7925915,-122.3930383,Michelin Guide,michelin-guide,MICHELIN Guide California 2026,2026,bib-gourmand,0,0,https://guide.michelin.com/us/en/california/san-francisco/restaurant/yank-sing,official-restaurant-record,https://guide.michelin.com/us/en/article/michelin-guide-ceremony/california-s-most-affordable-restaurants-in-2026,official-roundup,,2026-07-16,https://yanksing.com/,openstreetmap-nominatim,osm_verified,"Named OSM/Nominatim result for Yank Sing at the exact address; coordinates are independently OSM-sourced, not supplied by MICHELIN."
