"venue_id","canonical_name","city","country","verified_street_address","venue_official_url","address_source_url","latitude","longitude","coordinate_source","coordinate_validation_status","audit_note","source_access_date"
"venueparis00001","Le Gabriel - La Réserve Paris","Paris","France","42 Avenue Gabriel, 75008 Paris","https://www.lareserve-paris.com/en/restaurants-bars/restaurant-le-gabriel/","https://www.lareserve-paris.com/en/restaurants-bars/restaurant-le-gabriel/","48.8697092","2.3134390","https://www.openstreetmap.org/node/5030309021","osm_verified","Named OSM restaurant node 5030309021 is Le Gabriel on the La Réserve premises; Nominatim resolves its side to Rue du Cirque while the venue publishes the Avenue Gabriel entrance.","2026-07-16"
"venueparis00002","Épicure","Paris","France","112 rue du Faubourg Saint-Honoré, 75008 Paris","https://www.oetkercollection.com/hotels/le-bristol-paris/restaurants-bar/epicure/","https://www.oetkercollection.com/hotels/le-bristol-paris/restaurants-bar/epicure/","48.8717179","2.3148011","https://www.openstreetmap.org/node/4699968994","osm_verified","Named OSM restaurant node 4699968994 is Epicure on rue du Faubourg Saint-Honoré at Le Bristol; a second Épicure node 9997195643 on rue de Ponthieu was rejected as not matching the official address.","2026-07-16"
"venueparis00003","Kei","Paris","France","5 rue Coq-Héron, 75001 Paris","https://restaurant-kei.fr/","https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/kei","48.8643280","2.3421687","https://www.openstreetmap.org/node/681369512","osm_address_verified","No named Kei element was returned; OSM address node 681369512 is exactly 5 Rue Coq Héron, the official Michelin individual-record address.","2026-07-16"
"venueparis00004","Plénitude - Cheval Blanc Paris","Paris","France","Cheval Blanc Paris, 8 Quai du Louvre, 75001 Paris","https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/plenitude/","https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/plenitude/","48.8588572","2.3421794","https://www.openstreetmap.org/node/8859828184","osm_address_verified","No named Plénitude element was returned; named OSM hotel node 8859828184 is Cheval Blanc at number 8 and is the documented host premises, not a restaurant-specific pin.","2026-07-16"
"venueparis00005","Le Cinq","Paris","France","31 avenue George V, 75008 Paris","https://www.fourseasons.com/paris/dining/restaurants/le_cinq/","https://www.fourseasons.com/paris/contact-us/","48.8686738","2.3007762","https://www.openstreetmap.org/node/5030422821","osm_verified","Named OSM restaurant node 5030422821 is Le Cinq and carries the exact 31 Avenue George V address.","2026-07-16"
"venueparis00006","Pierre Gagnaire","Paris","France","6 rue Balzac, 75008 Paris","https://www.pierre-gagnaire.com/","https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/pierre-gagnaire6112","48.8733364","2.3004153","https://www.openstreetmap.org/node/4699902490","osm_verified","Named OSM restaurant node 4699902490 is Pierre Gagnaire on Rue Balzac and lies at OSM address node 839872225 for number 6.","2026-07-16"
"venueparis00007","Arpège","Paris","France","84 rue de Varenne, 75007 Paris","https://www.alain-passard.com/en/","https://www.alain-passard.com/en/contact/","48.8557540","2.3170135","https://www.openstreetmap.org/node/11817329876","osm_verified","Named OSM restaurant node 11817329876 is L'Arpège and carries the exact 84 Rue de Varenne address.","2026-07-16"
"venueparis00008","Alléno Paris au Pavillon Ledoyen","Paris","France","Pavillon Ledoyen, 8 avenue Dutuit, 75008 Paris","https://www.yannick-alleno.com/en/les-etablissements-du-groupe/alleno-paris","https://www.yannick-alleno.com/en/les-etablissements-du-groupe/alleno-paris","48.8661024","2.3164852","https://www.openstreetmap.org/way/108191689","osm_verified","Named OSM restaurant way 108191689 is Pavillon Ledoyen, the venue named in Alléno Paris's official address; OSM reverse context uses Avenue Edward Tuck for this corner building rather than the Avenue Dutuit entrance.","2026-07-16"
"venueparis00009","Le Pré Catelan","Paris","France","Route de Suresnes, Bois de Boulogne, 75016 Paris","https://leprecatelan.paris/en/le-restaurant-du-precatelan","https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-pre-catelan","48.8639746","2.2507666","https://www.openstreetmap.org/way/83115461","osm_verified","Named OSM restaurant way 83115461 is Le Pré Catelan; OSM places the building on Route de la Grande Cascade while the official Michelin record uses the estate's Route de Suresnes postal entrance.","2026-07-16"
"venueparis00010","La Scène","Paris","France","32 avenue Matignon, 75008 Paris","https://www.la-scene.paris/","https://www.la-scene.paris/informations/","48.8720547","2.3145504","https://www.openstreetmap.org/node/11463183203","osm_verified","Named OSM restaurant node 11463183203 is La Scène on Avenue Matignon and is adjacent to exact address node 813929540 for number 32.","2026-07-16"
